student_id,activity_id,event_ts,assessment_type,event_type,score,max_score
STU-00008,ACT-000023,2025-01-14 01:26:00,quiz,completed,,
STU-00008,ACT-000023,2025-01-14 01:30:00,quiz,scored,7.8,10.0
STU-00008,ACT-000023,2025-01-14 07:47:00,project,started,,
STU-00008,ACT-000023,2025-01-14 08:12:00,project,completed,,
STU-00009,ACT-000024,2025-01-07 01:10:00,quiz,started,,
STU-00009,ACT-000024,2025-01-07 02:03:00,quiz,completed,,
STU-00009,ACT-000024,2025-01-07 02:10:00,quiz,scored,8.1,10.0
STU-00009,ACT-000025,2025-01-14 04:34:00,quiz,started,,
STU-00009,ACT-000025,2025-01-14 05:22:00,quiz,completed,,
STU-00009,ACT-000025,2025-01-14 05:41:00,quiz,scored,2.7,10.0
STU-00010,ACT-000027,2025-01-07 07:50:00,quiz,started,,
STU-00010,ACT-000027,2025-01-07 07:56:00,quiz,completed,,
STU-00010,ACT-000028,2025-01-14 08:08:00,quiz,started,,
STU-00010,ACT-000028,2025-01-14 08:56:00,quiz,completed,,
STU-00010,ACT-000028,2025-01-14 09:04:00,quiz,scored,7.6,10.0
STU-00011,ACT-000029,2025-01-07 04:40:00,quiz,started,,
STU-00011,ACT-000029,2025-01-07 05:09:00,quiz,completed,,
STU-00011,ACT-000029,2025-01-07 05:12:00,quiz,scored,6.3,10.0
STU-00011,ACT-000030,2025-01-14 03:47:00,quiz,started,,
STU-00011,ACT-000030,2025-01-14 04:46:00,quiz,completed,,
STU-00011,ACT-000030,2025-01-14 05:02:00,quiz,scored,3.3,10.0
STU-00011,ACT-000030,2025-01-14 07:54:00,project,started,,
STU-00011,ACT-000031,2025-01-14 01:52:00,project,started,,
STU-00011,ACT-000031,2025-01-14 02:12:00,project,completed,,
STU-00011,ACT-000031,2025-01-14 02:22:00,project,scored,1.7,5.0
STU-00011,ACT-000031,2025-01-14 02:40:00,quiz,started,,
STU-00011,ACT-000031,2025-01-14 03:05:00,quiz,completed,,
STU-00011,ACT-000031,2025-01-14 03:31:00,quiz,scored,5.3,10.0
STU-00012,ACT-000032,2025-01-07 04:54:00,quiz,started,,
STU-00012,ACT-000032,2025-01-07 05:18:00,quiz,completed,,
STU-00012,ACT-000032,2025-01-07 05:43:00,quiz,scored,0.5,10.0
STU-00012,ACT-000032,2025-01-07 07:53:00,project,started,,
STU-00012,ACT-000032,2025-01-07 08:03:00,project,completed,,
STU-00012,ACT-000033,2025-01-07 02:00:00,quiz,started,,
STU-00012,ACT-000035,2025-01-14 08:59:00,project,started,,
STU-00013,ACT-000036,2025-01-07 00:16:00,quiz,started,,
STU-00013,ACT-000036,2025-01-07 01:01:00,quiz,completed,,
STU-00013,ACT-000036,2025-01-07 01:40:00,project,started,,
STU-00013,ACT-000036,2025-01-07 02:27:00,project,completed,,
STU-00013,ACT-000037,2025-01-13 20:45:00,quiz,started,,
STU-00013,ACT-000037,2025-01-13 21:01:00,quiz,completed,,
STU-00013,ACT-000037,2025-01-13 21:06:00,quiz,scored,5.9,10.0
STU-00014,ACT-000038,2025-01-06 19:44:00,quiz,started,,
STU-00014,ACT-000038,2025-01-06 19:54:00,quiz,completed,,
STU-00014,ACT-000039,2025-01-06 20:14:00,quiz,started,,
STU-00014,ACT-000039,2025-01-06 21:03:00,quiz,completed,,
STU-00014,ACT-000039,2025-01-06 21:07:00,quiz,scored,3.1,10.0
STU-00014,ACT-000040,2025-01-14 07:52:00,quiz,started,,
STU-00014,ACT-000040,2025-01-14 08:03:00,quiz,completed,,
STU-00014,ACT-000040,2025-01-14 08:25:00,quiz,scored,1.4,10.0
STU-00014,ACT-000041,2025-01-14 05:10:00,quiz,started,,
STU-00014,ACT-000041,2025-01-14 05:59:00,quiz,completed,,
STU-00014,ACT-000041,2025-01-14 06:23:00,quiz,scored,1.5,10.0
STU-00015,ACT-000042,2025-01-07 01:20:00,project,started,,
STU-00015,ACT-000042,2025-01-07 08:13:00,quiz,started,,
STU-00015,ACT-000042,2025-01-07 08:22:00,quiz,completed,,
STU-00015,ACT-000042,2025-01-07 08:26:00,quiz,scored,5.9,10.0
STU-00015,ACT-000043,2025-01-14 05:05:00,quiz,started,,
STU-00015,ACT-000043,2025-01-14 05:46:00,quiz,completed,,
STU-00015,ACT-000043,2025-01-14 06:06:00,quiz,scored,2.8,10.0
STU-00016,ACT-000044,2025-01-07 04:32:00,project,started,,
STU-00016,ACT-000044,2025-01-07 05:00:00,project,completed,,
STU-00016,ACT-000044,2025-01-07 05:02:00,project,scored,3.9,5.0
STU-00016,ACT-000044,2025-01-07 08:42:00,quiz,started,,
STU-00016,ACT-000045,2025-01-14 01:07:00,project,started,,
STU-00016,ACT-000045,2025-01-14 01:50:00,project,completed,,
STU-00016,ACT-000045,2025-01-14 02:07:00,project,scored,4.4,5.0
STU-00016,ACT-000046,2025-01-14 00:59:00,quiz,started,,
STU-00016,ACT-000046,2025-01-14 01:26:00,quiz,completed,,
STU-00016,ACT-000046,2025-01-14 01:45:00,quiz,scored,4.2,10.0
STU-00017,ACT-000047,2025-01-07 02:49:00,quiz,started,,
STU-00017,ACT-000047,2025-01-07 03:29:00,quiz,completed,,
STU-00017,ACT-000047,2025-01-07 03:38:00,quiz,scored,2.2,10.0
STU-00017,ACT-000048,2025-01-13 23:40:00,project,started,,
STU-00018,ACT-000050,2025-01-07 05:34:00,quiz,started,,
STU-00018,ACT-000050,2025-01-07 05:46:00,quiz,completed,,
STU-00018,ACT-000050,2025-01-07 05:56:00,quiz,scored,0.8,10.0
STU-00018,ACT-000051,2025-01-07 00:25:00,project,started,,
STU-00018,ACT-000051,2025-01-07 01:16:00,project,completed,,
STU-00018,ACT-000052,2025-01-13 20:19:00,quiz,started,,
STU-00018,ACT-000052,2025-01-13 21:08:00,quiz,completed,,
STU-00018,ACT-000052,2025-01-13 22:05:00,project,started,,
STU-00019,ACT-000053,2025-01-06 21:44:00,project,started,,
STU-00019,ACT-000053,2025-01-06 22:18:00,project,completed,,
STU-00019,ACT-000053,2025-01-07 04:38:00,quiz,started,,
STU-00019,ACT-000053,2025-01-07 05:23:00,quiz,completed,,
STU-00019,ACT-000053,2025-01-07 05:47:00,quiz,scored,1.8,10.0
STU-00019,ACT-000054,2025-01-13 20:49:00,project,started,,
STU-00019,ACT-000054,2025-01-14 07:52:00,quiz,started,,
STU-00019,ACT-000054,2025-01-14 08:05:00,quiz,completed,,
STU-00019,ACT-000054,2025-01-14 08:29:00,quiz,scored,7.8,10.0
STU-00019,ACT-000055,2025-01-14 01:17:00,quiz,started,,
STU-00019,ACT-000055,2025-01-14 01:36:00,quiz,completed,,
STU-00019,ACT-000055,2025-01-14 01:55:00,quiz,scored,6.3,10.0
STU-00020,ACT-000056,2025-01-06 19:31:00,quiz,started,,
STU-00020,ACT-000056,2025-01-06 21:16:00,project,started,,
STU-00020,ACT-000058,2025-01-13 21:11:00,project,started,,
STU-00020,ACT-000058,2025-01-14 06:32:00,quiz,started,,
STU-00020,ACT-000058,2025-01-14 07:29:00,quiz,completed,,
STU-00020,ACT-000058,2025-01-14 07:37:00,quiz,scored,0.5,10.0
STU-00021,ACT-000061,2025-01-14 00:15:00,quiz,started,,
STU-00021,ACT-000061,2025-01-14 01:04:00,quiz,completed,,
STU-00021,ACT-000061,2025-01-14 01:31:00,quiz,scored,0.8,10.0
STU-00021,ACT-000061,2025-01-14 03:43:00,project,started,,
STU-00021,ACT-000062,2025-01-14 07:33:00,quiz,started,,
STU-00022,ACT-000063,2025-01-06 22:18:00,project,started,,
STU-00022,ACT-000063,2025-01-06 22:40:00,project,completed,,
STU-00022,ACT-000063,2025-01-07 02:55:00,quiz,started,,
STU-00022,ACT-000063,2025-01-07 03:52:00,quiz,completed,,
STU-00022,ACT-000063,2025-01-07 03:55:00,quiz,scored,5.5,10.0
STU-00022,ACT-000064,2025-01-07 00:37:00,quiz,started,,
STU-00022,ACT-000066,2025-01-14 07:15:00,quiz,started,,
STU-00022,ACT-000066,2025-01-14 07:44:00,quiz,completed,,
STU-00022,ACT-000066,2025-01-14 08:02:00,quiz,scored,3.5,10.0
STU-00023,ACT-000068,2025-01-07 02:03:00,project,started,,
STU-00023,ACT-000068,2025-01-07 05:24:00,quiz,started,,
STU-00023,ACT-000068,2025-01-07 06:13:00,quiz,completed,,
STU-00023,ACT-000068,2025-01-07 06:20:00,quiz,scored,5.3,10.0
STU-00023,ACT-000069,2025-01-13 23:05:00,quiz,started,,
STU-00023,ACT-000069,2025-01-13 23:22:00,quiz,completed,,
STU-00023,ACT-000069,2025-01-13 23:39:00,quiz,scored,4.1,10.0
STU-00024,ACT-000070,2025-01-07 06:05:00,quiz,started,,
STU-00024,ACT-000070,2025-01-07 06:40:00,quiz,completed,,
STU-00024,ACT-000070,2025-01-07 07:07:00,quiz,scored,3.9,10.0
STU-00024,ACT-000071,2025-01-14 05:08:00,quiz,started,,
STU-00024,ACT-000071,2025-01-14 05:27:00,quiz,completed,,
STU-00024,ACT-000071,2025-01-14 05:57:00,quiz,scored,8.0,10.0
STU-00024,ACT-000072,2025-01-14 00:28:00,quiz,started,,
STU-00024,ACT-000072,2025-01-14 00:35:00,quiz,completed,,
STU-00024,ACT-000072,2025-01-14 07:37:00,project,started,,
STU-00024,ACT-000072,2025-01-14 07:46:00,project,completed,,
STU-00024,ACT-000072,2025-01-14 08:01:00,project,scored,1.6,5.0
STU-00025,ACT-000073,2025-01-07 00:49:00,quiz,started,,
STU-00025,ACT-000073,2025-01-07 01:11:00,quiz,completed,,
STU-00025,ACT-000073,2025-01-07 01:39:00,quiz,scored,1.2,10.0
STU-00025,ACT-000073,2025-01-07 05:19:00,project,started,,
STU-00025,ACT-000074,2025-01-06 19:13:00,quiz,started,,
STU-00025,ACT-000074,2025-01-06 19:36:00,quiz,completed,,
STU-00025,ACT-000074,2025-01-06 19:59:00,quiz,scored,2.5,10.0
STU-00025,ACT-000074,2025-01-07 03:03:00,project,started,,
STU-00025,ACT-000075,2025-01-13 21:01:00,quiz,started,,
STU-00026,ACT-000076,2025-01-07 03:15:00,quiz,started,,
STU-00026,ACT-000076,2025-01-07 03:24:00,quiz,completed,,
STU-00026,ACT-000076,2025-01-07 03:29:00,quiz,scored,1.2,10.0
STU-00026,ACT-000076,2025-01-07 07:14:00,project,started,,
STU-00026,ACT-000076,2025-01-07 08:09:00,project,completed,,
STU-00026,ACT-000076,2025-01-07 08:31:00,project,scored,3.2,5.0
STU-00026,ACT-000077,2025-01-14 04:37:00,quiz,started,,
STU-00026,ACT-000077,2025-01-14 05:32:00,quiz,completed,,
STU-00026,ACT-000077,2025-01-14 05:35:00,quiz,scored,2.0,10.0
STU-00027,ACT-000078,2025-01-07 08:53:00,project,started,,
STU-00027,ACT-000079,2025-01-14 02:03:00,quiz,started,,
STU-00027,ACT-000079,2025-01-14 02:42:00,quiz,completed,,
STU-00027,ACT-000079,2025-01-14 03:06:00,quiz,scored,3.9,10.0
STU-00027,ACT-000079,2025-01-14 05:27:00,project,started,,
STU-00027,ACT-000079,2025-01-14 05:43:00,project,completed,,
STU-00028,ACT-000080,2025-01-07 02:56:00,quiz,started,,
STU-00028,ACT-000080,2025-01-07 03:38:00,quiz,completed,,
STU-00028,ACT-000080,2025-01-07 03:46:00,quiz,scored,6.5,10.0
STU-00029,ACT-000082,2025-01-07 01:08:00,quiz,started,,
STU-00029,ACT-000082,2025-01-07 01:52:00,quiz,completed,,
STU-00029,ACT-000082,2025-01-07 02:09:00,quiz,scored,2.5,10.0
STU-00029,ACT-000083,2025-01-13 19:24:00,quiz,started,,
STU-00029,ACT-000083,2025-01-13 19:49:00,quiz,completed,,
STU-00029,ACT-000083,2025-01-13 20:15:00,quiz,scored,4.8,10.0
STU-00029,ACT-000084,2025-01-14 01:17:00,quiz,started,,
STU-00029,ACT-000084,2025-01-14 01:40:00,quiz,completed,,
STU-00029,ACT-000084,2025-01-14 01:41:00,quiz,scored,9.0,10.0
STU-00030,ACT-000085,2025-01-07 02:33:00,quiz,started,,
STU-00030,ACT-000085,2025-01-07 03:13:00,quiz,completed,,
STU-00030,ACT-000086,2025-01-14 05:15:00,quiz,started,,
STU-00030,ACT-000086,2025-01-14 06:10:00,quiz,completed,,
STU-00030,ACT-000086,2025-01-14 06:34:00,quiz,scored,0.6,10.0
